"","PrimaryKey","horizontal_flux_total_LPI","horizontal_flux_total_UPI","horizontal_flux_total_MD","horizontal_flux_total_MN","horizontal_flux_total_STD","vertical_flux_LPI","vertical_flux_UPI","vertical_flux_MD","vertical_flux_MN","vertical_flux_STD","PM1_LPI","PM1_UPI","PM1_MD","PM1_MN","PM1_STD","PM2_5_LPI","PM2_5_UPI","PM2_5_MD","PM2_5_MN","PM2_5_STD","PM10_LPI","PM10_UPI","PM10_MD","PM10_MN","PM10_STD"
"3813","20113513020201R1",23.24183364,75.16722911,42.3687529,45.54997033,17.16204531,0.000271229,0.011135049,0.001851373,0.00348218,0.004851746,4.82e-05,0.001979155,0.000329053,0.000618949,0.000862473,8.41e-05,0.003451455,0.000573786,0.001079474,0.001504586,0.000190747,0.007831362,0.001302016,0.002449152,0.00341296
"3814","20113513020201R2",6.423200756,26.50172965,13.57497285,14.5232448,6.161505442,2.68e-05,0.002212643,0.000244046,0.000532963,0.000803488,4.76e-06,0.00039329,4.34e-05,9.47e-05,0.000142823,8.3e-06,0.000685915,7.56e-05,0.000165211,0.000249118,1.88e-05,0.001556242,0.000171636,0.000374846,0.00056516
"3815","20113513030101O1",12.45405398,45.45714443,24.26918433,25.69070224,10.13912992,3.56e-05,0.002482014,0.000286562,0.000616227,0.000941886,2.02e-08,1.58e-06,1.64e-07,3.68e-07,5.89e-07,4.58e-07,3.27e-05,3.69e-06,7.97e-06,1.23e-05,1.21e-05,0.000839922,9.69e-05,0.000208408,0.000318605
"3816","20113513030101O2",1.552605252,7.840397165,3.700727472,4.002651123,1.923112924,4.43e-06,0.000729009,5.14e-05,0.0001468,0.000250782,7.87e-07,0.000129572,9.14e-06,2.61e-05,4.46e-05,1.37e-06,0.000225949,1.59e-05,4.55e-05,7.77e-05,3.12e-06,0.000512701,3.62e-05,0.000103246,0.000176385
"3817","20113513040801R1",0.975107259,5.462361036,2.284769289,2.556001103,1.328722281,5.72e-07,0.000157484,6.79e-06,2.73e-05,5.54e-05,8.82e-08,2.43e-05,1.05e-06,4.2e-06,8.54e-06,1.71e-07,4.71e-05,2.03e-06,8.15e-06,1.66e-05,4.01e-07,0.000110338,4.75e-06,1.91e-05,3.88e-05
"3818","20113513040801R2",0.161603146,3.017494472,0.705045721,0.990109762,0.855495372,2.51e-08,5.14e-05,1.01e-06,8.98e-06,2.21e-05,3.88e-09,7.92e-06,1.55e-07,1.38e-06,3.41e-06,7.52e-09,1.54e-05,3.01e-07,2.69e-06,6.62e-06,1.76e-08,3.6e-05,7.05e-07,6.29e-06,1.55e-05
"3819","20113513050201O1",10.18043426,44.61986976,21.45628599,23.42535533,10.63916812,3.08e-05,0.00295707,0.000315659,0.00074107,0.001228189,1.74e-08,1.77e-06,1.78e-07,4.41e-07,7.66e-07,3.96e-07,3.82e-05,4.06e-06,9.58e-06,1.6e-05,1.04e-05,0.000999991,0.000106732,0.000250622,0.000415438
"3820","20113513050201O2",0.484348113,7.944846088,1.936563001,2.68926468,2.205473898,3.64e-07,0.000525187,1.28e-05,9.47e-05,0.000208826,6.47e-08,9.33e-05,2.27e-06,1.68e-05,3.71e-05,1.13e-07,0.000162793,3.96e-06,2.93e-05,6.47e-05,2.56e-07,0.000369372,8.99e-06,6.66e-05,0.000146865
"3821","20113513050301R1",24.36699012,88.55220459,46.12795259,51.16026474,21.27806864,0.000139284,0.006048968,0.000967729,0.001836148,0.002569018,7.87e-08,3.69e-06,5.59e-07,1.12e-06,1.74e-06,1.79e-06,7.86e-05,1.25e-05,2.38e-05,3.37e-05,4.71e-05,0.002046081,0.000327235,0.000621026,0.000869265
"3822","20113513050301R2",20.33218274,76.49116155,40.05579175,43.84429471,17.99488593,7.94e-05,0.002765309,0.000447504,0.000853332,0.001213663,4.51e-08,1.7e-06,2.59e-07,5.2e-07,8.11e-07,1.02e-06,3.59e-05,5.79e-06,1.11e-05,1.59e-05,2.68e-05,0.00093529,0.000151333,0.000288616,0.00041064
"3823","20113513070701O1",0.157711225,2.54426109,0.625087299,0.886261378,0.75896025,4.62e-08,7.51e-05,1.58e-06,1.44e-05,3.34e-05,2.58e-11,4.42e-08,8.94e-10,8.23e-09,1.92e-08,5.93e-10,9.7e-07,2.03e-08,1.85e-07,4.3e-07,1.56e-08,2.54e-05,5.34e-07,4.86e-06,1.13e-05
"3824","20113513080101R1",70.33001886,258.5821781,129.8203019,146.0178783,60.8625202,0.001563073,0.055690232,0.009370311,0.017563819,0.024314824,0.000277812,0.009900121,0.001665437,0.003121965,0.004322615,0.000484434,0.017272125,0.002904138,0.00544507,0.007541997,0.001099263,0.03917708,0.006589912,0.012353653,0.017105843
"3825","20113513080101R2",0.097725321,1.929493642,0.417486614,0.627127001,0.57428723,2.44e-08,6.57e-05,9.91e-07,1.12e-05,2.89e-05,4.33e-09,1.17e-05,1.76e-07,2e-06,5.13e-06,7.55e-09,2.04e-05,3.07e-07,3.48e-06,8.95e-06,1.71e-08,4.62e-05,6.97e-07,7.89e-06,2.03e-05
"3826","20113513090502P1",2.404780426,7.458409643,4.160510525,4.477605962,1.583222664,1.82e-06,0.000140996,1.33e-05,2.99e-05,4.77e-05,4.29e-09,3.4e-07,3.14e-08,7.25e-08,1.18e-07,6.29e-08,4.88e-06,4.57e-07,1.04e-06,1.66e-06,7.95e-07,6.15e-05,5.78e-06,1.31e-05,2.08e-05
"3827","20113513090502P2",0.08787999,0.72177979,0.239339981,0.300599111,0.223462973,1.24e-08,9.2e-06,1.93e-07,2e-06,6.55e-06,2.2e-09,1.64e-06,3.43e-08,3.56e-07,1.16e-06,3.84e-09,2.85e-06,5.98e-08,6.21e-07,2.03e-06,8.72e-09,6.47e-06,1.36e-07,1.41e-06,4.6e-06
"3834","20113519050401R1",1.17273134,43.94813643,11.9392043,16.12806631,13.92706211,1.63e-06,0.006293296,0.000233929,0.001211306,0.002236586,9.05e-10,3.61e-06,1.31e-07,7.06e-07,1.33e-06,2.09e-08,8.1e-05,3.01e-06,1.56e-05,2.89e-05,5.5e-07,0.002128026,7.91e-05,0.000409619,0.000756379
"3841","20113527101101O1",1.12e-18,0.060645651,8.1e-06,0.011905772,0.044644385,8.8e-38,2.36e-08,3.3e-16,2.13e-08,1.83e-07,2.03e-40,5.45e-11,7.61e-19,4.94e-11,4.24e-10,3.02e-39,8.11e-10,1.13e-17,7.33e-10,6.29e-09,3.84e-38,1.03e-08,1.44e-16,9.29e-09,7.97e-08
"3842","20113527101101O2",0.018399555,1.371567098,0.181365277,0.370019022,0.491598238,4.91e-10,1.74e-05,1.1e-07,3.3e-06,1.08e-05,1.14e-12,4.06e-08,2.54e-10,7.72e-09,2.53e-08,1.69e-11,5.99e-07,3.78e-09,1.14e-07,3.72e-07,2.14e-10,7.59e-06,4.79e-08,1.44e-06,4.71e-06
"3845","20113529010901O2",13.40694468,48.73651247,26.18648735,27.62691573,11.01235669,5.62e-05,0.004122134,0.000432879,0.000983775,0.001511841,8.66e-06,0.000635518,6.67e-05,0.000151667,0.000233069,1.68e-05,0.001232553,0.000129434,0.000294158,0.000452059,3.94e-05,0.002887965,0.000303273,0.000689241,0.001059239
